RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Set
1,15634602,Hargrave,619,France,Female,42,2,0,1,Has Credit Card,Active,101348.88,Exit,Test
2,15647311,Hill,608,Spain,Female,41,1,83807.86,1,No Credit Card,Active,112542.58,Stay,Train
3,15619304,Onio,502,France,Female,42,8,159660.8,3,Has Credit Card,Not Active,113931.57,Exit,Train
4,15701354,Boni,699,France,Female,39,1,0,2,No Credit Card,Not Active,93826.63,Stay,Test
5,15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,Has Credit Card,Active,79084.1,Stay,Train
6,15574012,Chu,645,Spain,Male,44,8,113755.78,2,Has Credit Card,Not Active,149756.71,Exit,Train
7,15592531,Bartlett,822,France,Male,50,7,0,2,Has Credit Card,Active,10062.8,Stay,Train
8,15656148,Obinna,376,Germany,Female,29,4,115046.74,4,Has Credit Card,Not Active,119346.88,Exit,Train
9,15792365,He,501,France,Male,44,4,142051.07,2,No Credit Card,Active,74940.5,Stay,Test
10,15592389,H?,684,France,Male,27,2,134603.88,1,Has Credit Card,Active,71725.73,Stay,Train
11,15767821,Bearce,528,France,Male,31,6,102016.72,2,No Credit Card,Not Active,80181.12,Stay,Test
12,15737173,Andrews,497,Spain,Male,24,3,0,2,Has Credit Card,Not Active,76390.01,Stay,Train
13,15632264,Kay,476,France,Female,34,10,0,2,Has Credit Card,Not Active,26260.98,Stay,Test
14,15691483,Chin,549,France,Female,25,5,0,2,No Credit Card,Not Active,190857.79,Stay,Train
15,15600882,Scott,635,Spain,Female,35,7,0,2,Has Credit Card,Active,65951.65,Stay,Test
16,15643966,Goforth,616,Germany,Male,45,3,143129.41,2,No Credit Card,Active,64327.26,Stay,Train
17,15737452,Romeo,653,Germany,Male,58,1,132602.88,1,Has Credit Card,Not Active,5097.67,Exit,Train
18,15788218,Henderson,549,Spain,Female,24,9,0,2,Has Credit Card,Active,14406.41,Stay,Test
19,15661507,Muldrow,587,Spain,Male,45,6,0,1,No Credit Card,Not Active,158684.81,Stay,Train
20,15568982,Hao,726,France,Female,24,6,0,2,Has Credit Card,Active,54724.03,Stay,Test
21,15577657,McDonald,732,France,Male,41,8,0,2,Has Credit Card,Active,170886.17,Stay,Test
22,15597945,Dellucci,636,Spain,Female,32,8,0,2,Has Credit Card,Not Active,138555.46,Stay,Train
23,15699309,Gerasimov,510,Spain,Female,38,4,0,1,Has Credit Card,Not Active,118913.53,Exit,Train
24,15725737,Mosman,669,France,Male,46,3,0,2,No Credit Card,Active,8487.75,Stay,Test
